merchant,description,amount,category
Swiggy,Lunch order,2102,Food
Dominos,Pizza order,3242,Food
Ajio,Fashion shopping,436,Shopping
Netflix,Monthly subscription,4813,Entertainment
Flipkart,Online shopping,1134,Shopping
Flipkart,Online shopping,2383,Shopping
Metro,Metro ticket,4821,Transport
Netflix,Monthly subscription,4796,Entertainment
Flipkart,Online shopping,960,Shopping
BookMyShow,Movie ticket,3758,Entertainment
Rapido,Bike ride,4826,Transport
Flipkart,Online shopping,1488,Shopping
Myntra,Clothing order,4097,Shopping
Netflix,Monthly subscription,961,Entertainment
Rapido,Bike ride,4609,Transport
Rapido,Bike ride,3191,Transport
Ola,City travel,851,Transport
KFC,Chicken meal,738,Food
Metro,Metro ticket,4487,Transport
Swiggy,Lunch order,3240,Food
Amazon,Electronics purchase,1682,Shopping
Dominos,Pizza order,2186,Food
BookMyShow,Movie ticket,1608,Entertainment
Rapido,Bike ride,691,Transport
Netflix,Monthly subscription,1358,Entertainment
Metro,Metro ticket,977,Transport
Uber,Airport ride,1462,Transport
Dominos,Pizza order,2082,Food
Uber,Airport ride,2868,Transport
Metro,Metro ticket,2455,Transport
Dominos,Pizza order,3191,Food
Rapido,Bike ride,4089,Transport
BookMyShow,Movie ticket,2138,Entertainment
Myntra,Clothing order,3438,Shopping
Metro,Metro ticket,1964,Transport
Dominos,Pizza order,3401,Food
KFC,Chicken meal,154,Food
BookMyShow,Movie ticket,1046,Entertainment
Ajio,Fashion shopping,2081,Shopping
Myntra,Clothing order,2485,Shopping
Netflix,Monthly subscription,2167,Entertainment
Rapido,Bike ride,1683,Transport
Uber,Airport ride,2127,Transport
BookMyShow,Movie ticket,4530,Entertainment
Rapido,Bike ride,4200,Transport
Netflix,Monthly subscription,3402,Entertainment
Flipkart,Online shopping,329,Shopping
BookMyShow,Movie ticket,201,Entertainment
Rapido,Bike ride,2465,Transport
Uber,Airport ride,1977,Transport
BookMyShow,Movie ticket,165,Entertainment
Metro,Metro ticket,2373,Transport
Rapido,Bike ride,2703,Transport
Starbucks,Coffee purchase,4721,Food
Uber,Airport ride,4389,Transport
Ola,City travel,3326,Transport
Metro,Metro ticket,3269,Transport
Ola,City travel,116,Transport
Uber,Airport ride,4989,Transport
Uber,Airport ride,3709,Transport
Flipkart,Online shopping,930,Shopping
Netflix,Monthly subscription,3788,Entertainment
Spotify,Music subscription,1131,Entertainment
Ola,City travel,1947,Transport
Swiggy,Lunch order,3849,Food
Starbucks,Coffee purchase,3951,Food
Myntra,Clothing order,331,Shopping
Amazon,Electronics purchase,4278,Shopping
BookMyShow,Movie ticket,4833,Entertainment
Spotify,Music subscription,902,Entertainment
BookMyShow,Movie ticket,1905,Entertainment
Myntra,Clothing order,2849,Shopping
Swiggy,Lunch order,834,Food
Myntra,Clothing order,4444,Shopping
Flipkart,Online shopping,4807,Shopping
Metro,Metro ticket,2590,Transport
Flipkart,Online shopping,2282,Shopping
Uber,Airport ride,3701,Transport
Swiggy,Lunch order,3996,Food
Flipkart,Online shopping,1258,Shopping
Zomato,Food delivery,3762,Food
Rapido,Bike ride,3293,Transport
Zomato,Food delivery,1737,Food
Flipkart,Online shopping,1948,Shopping
BookMyShow,Movie ticket,3170,Entertainment
KFC,Chicken meal,3431,Food
BookMyShow,Movie ticket,3305,Entertainment
Myntra,Clothing order,391,Shopping
Spotify,Music subscription,993,Entertainment
Rapido,Bike ride,1255,Transport
Spotify,Music subscription,3580,Entertainment
Flipkart,Online shopping,4442,Shopping
Rapido,Bike ride,4294,Transport
BookMyShow,Movie ticket,214,Entertainment
Netflix,Monthly subscription,827,Entertainment
Flipkart,Online shopping,1493,Shopping
Myntra,Clothing order,2150,Shopping
Swiggy,Lunch order,2641,Food
Amazon,Electronics purchase,2358,Shopping
Starbucks,Coffee purchase,1289,Food
Rapido,Bike ride,1055,Transport
BookMyShow,Movie ticket,2635,Entertainment
Ola,City travel,1058,Transport
Metro,Metro ticket,1911,Transport
BookMyShow,Movie ticket,2052,Entertainment
Rapido,Bike ride,3222,Transport
Myntra,Clothing order,2046,Shopping
BookMyShow,Movie ticket,2675,Entertainment
Netflix,Monthly subscription,256,Entertainment
Zomato,Food delivery,4073,Food
Flipkart,Online shopping,123,Shopping
Ola,City travel,3086,Transport
Flipkart,Online shopping,601,Shopping
Starbucks,Coffee purchase,3251,Food
Ajio,Fashion shopping,3038,Shopping
Flipkart,Online shopping,3747,Shopping
Uber,Airport ride,1080,Transport
Flipkart,Online shopping,1767,Shopping
Dominos,Pizza order,2546,Food
Netflix,Monthly subscription,226,Entertainment
Ajio,Fashion shopping,4468,Shopping
Ola,City travel,4579,Transport
Metro,Metro ticket,3794,Transport
Netflix,Monthly subscription,3378,Entertainment
BookMyShow,Movie ticket,584,Entertainment
Ola,City travel,187,Transport
Swiggy,Lunch order,1764,Food
BookMyShow,Movie ticket,916,Entertainment
Rapido,Bike ride,3961,Transport
Zomato,Food delivery,1926,Food
Metro,Metro ticket,2847,Transport
Amazon,Electronics purchase,1700,Shopping
Zomato,Food delivery,2163,Food
Flipkart,Online shopping,1719,Shopping
Starbucks,Coffee purchase,3257,Food
Netflix,Monthly subscription,231,Entertainment
BookMyShow,Movie ticket,3838,Entertainment
Spotify,Music subscription,3860,Entertainment
Swiggy,Lunch order,1704,Food
Amazon,Electronics purchase,366,Shopping
BookMyShow,Movie ticket,2613,Entertainment
Ola,City travel,3947,Transport
Swiggy,Lunch order,4525,Food
Dominos,Pizza order,3152,Food
Metro,Metro ticket,2778,Transport
KFC,Chicken meal,954,Food
Spotify,Music subscription,1269,Entertainment
Myntra,Clothing order,1465,Shopping
Uber,Airport ride,1800,Transport
Metro,Metro ticket,1196,Transport
BookMyShow,Movie ticket,2975,Entertainment
Dominos,Pizza order,3575,Food
Uber,Airport ride,2623,Transport
Uber,Airport ride,4972,Transport
Netflix,Monthly subscription,510,Entertainment
Swiggy,Lunch order,1012,Food
BookMyShow,Movie ticket,1699,Entertainment
Ola,City travel,3998,Transport
Netflix,Monthly subscription,147,Entertainment
Starbucks,Coffee purchase,2489,Food
Flipkart,Online shopping,1508,Shopping
Metro,Metro ticket,1620,Transport
Swiggy,Lunch order,316,Food
Metro,Metro ticket,853,Transport
Dominos,Pizza order,2668,Food
Rapido,Bike ride,3776,Transport
Ola,City travel,2694,Transport
Ola,City travel,3025,Transport
Dominos,Pizza order,4078,Food
Uber,Airport ride,4528,Transport
Swiggy,Lunch order,1175,Food
Flipkart,Online shopping,928,Shopping
Netflix,Monthly subscription,1639,Entertainment
Dominos,Pizza order,4493,Food
BookMyShow,Movie ticket,1687,Entertainment
Zomato,Food delivery,4627,Food
Flipkart,Online shopping,2554,Shopping
Metro,Metro ticket,742,Transport
Swiggy,Lunch order,1267,Food
Netflix,Monthly subscription,4581,Entertainment
Swiggy,Lunch order,2083,Food
Starbucks,Coffee purchase,2765,Food
Metro,Metro ticket,4740,Transport
Metro,Metro ticket,601,Transport
Myntra,Clothing order,4908,Shopping
Amazon,Electronics purchase,798,Shopping
Amazon,Electronics purchase,243,Shopping
BookMyShow,Movie ticket,3037,Entertainment
Myntra,Clothing order,3708,Shopping
Zomato,Food delivery,3259,Food
KFC,Chicken meal,1729,Food
Flipkart,Online shopping,1916,Shopping
Amazon,Electronics purchase,990,Shopping
KFC,Chicken meal,2063,Food
Ajio,Fashion shopping,4525,Shopping
BookMyShow,Movie ticket,2670,Entertainment
Rapido,Bike ride,3923,Transport
Ajio,Fashion shopping,2505,Shopping
KFC,Chicken meal,2711,Food
Dominos,Pizza order,2222,Food
Spotify,Music subscription,4045,Entertainment
Amazon,Electronics purchase,3245,Shopping
Uber,Airport ride,132,Transport
Uber,Airport ride,123,Transport
Spotify,Music subscription,3649,Entertainment
Ola,City travel,2515,Transport
Uber,Airport ride,3591,Transport
KFC,Chicken meal,1455,Food
Uber,Airport ride,2311,Transport
Uber,Airport ride,4039,Transport
Netflix,Monthly subscription,116,Entertainment
KFC,Chicken meal,258,Food
Metro,Metro ticket,964,Transport
Uber,Airport ride,3006,Transport
KFC,Chicken meal,4157,Food
Spotify,Music subscription,4033,Entertainment
Amazon,Electronics purchase,3874,Shopping
Uber,Airport ride,525,Transport
Ajio,Fashion shopping,3360,Shopping
Amazon,Electronics purchase,4619,Shopping
BookMyShow,Movie ticket,378,Entertainment
Amazon,Electronics purchase,4684,Shopping
Ola,City travel,4478,Transport
Uber,Airport ride,1574,Transport
Netflix,Monthly subscription,1892,Entertainment
BookMyShow,Movie ticket,4690,Entertainment
BookMyShow,Movie ticket,2621,Entertainment
Myntra,Clothing order,4811,Shopping
Metro,Metro ticket,2835,Transport
Zomato,Food delivery,3973,Food
Amazon,Electronics purchase,1585,Shopping
BookMyShow,Movie ticket,2439,Entertainment
Zomato,Food delivery,3821,Food
Netflix,Monthly subscription,2031,Entertainment
Amazon,Electronics purchase,4912,Shopping
Myntra,Clothing order,1513,Shopping
Spotify,Music subscription,4689,Entertainment
Netflix,Monthly subscription,2409,Entertainment
Dominos,Pizza order,4007,Food
Myntra,Clothing order,4361,Shopping
Dominos,Pizza order,4654,Food
KFC,Chicken meal,762,Food
KFC,Chicken meal,2632,Food
Ajio,Fashion shopping,2379,Shopping
Ajio,Fashion shopping,4323,Shopping
Spotify,Music subscription,986,Entertainment
Ajio,Fashion shopping,2959,Shopping
Ajio,Fashion shopping,245,Shopping
Netflix,Monthly subscription,4147,Entertainment
Ola,City travel,2669,Transport
Rapido,Bike ride,2675,Transport
Flipkart,Online shopping,4891,Shopping
Flipkart,Online shopping,2069,Shopping
Uber,Airport ride,4306,Transport
Dominos,Pizza order,2232,Food
Rapido,Bike ride,2753,Transport
Ola,City travel,1758,Transport
Myntra,Clothing order,339,Shopping
Flipkart,Online shopping,811,Shopping
Uber,Airport ride,158,Transport
Swiggy,Lunch order,3958,Food
Metro,Metro ticket,1636,Transport
Zomato,Food delivery,605,Food
Uber,Airport ride,3093,Transport
Flipkart,Online shopping,2278,Shopping
Myntra,Clothing order,3137,Shopping
Spotify,Music subscription,2681,Entertainment
Starbucks,Coffee purchase,4436,Food
Dominos,Pizza order,4948,Food
Myntra,Clothing order,3722,Shopping
BookMyShow,Movie ticket,4233,Entertainment
Spotify,Music subscription,3700,Entertainment
Amazon,Electronics purchase,4204,Shopping
Metro,Metro ticket,4213,Transport
Swiggy,Lunch order,560,Food
Ola,City travel,1095,Transport
Netflix,Monthly subscription,1841,Entertainment
BookMyShow,Movie ticket,2812,Entertainment
Metro,Metro ticket,1467,Transport
Amazon,Electronics purchase,1621,Shopping
Spotify,Music subscription,647,Entertainment
Ajio,Fashion shopping,4413,Shopping
Metro,Metro ticket,1908,Transport
Rapido,Bike ride,279,Transport
BookMyShow,Movie ticket,3338,Entertainment
Ola,City travel,991,Transport
Ola,City travel,4236,Transport
Spotify,Music subscription,461,Entertainment
Swiggy,Lunch order,1912,Food
Metro,Metro ticket,4854,Transport
Flipkart,Online shopping,620,Shopping
Ola,City travel,1290,Transport
Flipkart,Online shopping,2859,Shopping
Starbucks,Coffee purchase,3645,Food
Flipkart,Online shopping,3785,Shopping
Rapido,Bike ride,4664,Transport
Myntra,Clothing order,4138,Shopping
BookMyShow,Movie ticket,3038,Entertainment
Spotify,Music subscription,3721,Entertainment
Ola,City travel,4323,Transport
Dominos,Pizza order,1718,Food
Swiggy,Lunch order,584,Food
Amazon,Electronics purchase,4633,Shopping
Ola,City travel,1481,Transport
Starbucks,Coffee purchase,4868,Food
Ajio,Fashion shopping,317,Shopping
Amazon,Electronics purchase,3804,Shopping
BookMyShow,Movie ticket,1219,Entertainment
Metro,Metro ticket,2328,Transport
Flipkart,Online shopping,3429,Shopping
Netflix,Monthly subscription,4455,Entertainment
Spotify,Music subscription,4746,Entertainment
Zomato,Food delivery,4974,Food
Swiggy,Lunch order,2877,Food
Starbucks,Coffee purchase,553,Food
Metro,Metro ticket,3288,Transport
Metro,Metro ticket,1569,Transport
BookMyShow,Movie ticket,598,Entertainment
Ajio,Fashion shopping,3952,Shopping
Amazon,Electronics purchase,1776,Shopping
Uber,Airport ride,3855,Transport
Flipkart,Online shopping,1401,Shopping
Ola,City travel,219,Transport
Rapido,Bike ride,1768,Transport
BookMyShow,Movie ticket,3982,Entertainment
Ajio,Fashion shopping,3010,Shopping
Spotify,Music subscription,1538,Entertainment
Amazon,Electronics purchase,3515,Shopping
Flipkart,Online shopping,769,Shopping
Flipkart,Online shopping,2757,Shopping
Dominos,Pizza order,1597,Food
Uber,Airport ride,682,Transport
Uber,Airport ride,988,Transport
Swiggy,Lunch order,2159,Food
Metro,Metro ticket,2658,Transport
Netflix,Monthly subscription,921,Entertainment
Ola,City travel,928,Transport
Metro,Metro ticket,1345,Transport
Netflix,Monthly subscription,1548,Entertainment
Dominos,Pizza order,4323,Food
Amazon,Electronics purchase,890,Shopping
BookMyShow,Movie ticket,1260,Entertainment
Dominos,Pizza order,2998,Food
Netflix,Monthly subscription,2433,Entertainment
Metro,Metro ticket,2107,Transport
Netflix,Monthly subscription,2836,Entertainment
Amazon,Electronics purchase,4544,Shopping
Myntra,Clothing order,2955,Shopping
Metro,Metro ticket,1704,Transport
Netflix,Monthly subscription,662,Entertainment
Swiggy,Lunch order,3488,Food
Starbucks,Coffee purchase,3846,Food
Metro,Metro ticket,3154,Transport
Spotify,Music subscription,4668,Entertainment
KFC,Chicken meal,445,Food
Flipkart,Online shopping,3691,Shopping
Netflix,Monthly subscription,314,Entertainment
Dominos,Pizza order,2207,Food
Myntra,Clothing order,3166,Shopping
Amazon,Electronics purchase,3859,Shopping
Spotify,Music subscription,1707,Entertainment
Spotify,Music subscription,1848,Entertainment
Swiggy,Lunch order,462,Food
Metro,Metro ticket,3942,Transport
KFC,Chicken meal,4584,Food
Uber,Airport ride,984,Transport
Zomato,Food delivery,3568,Food
Zomato,Food delivery,3253,Food
Rapido,Bike ride,2811,Transport
Myntra,Clothing order,758,Shopping
Netflix,Monthly subscription,2865,Entertainment
Spotify,Music subscription,212,Entertainment
Flipkart,Online shopping,1835,Shopping
Metro,Metro ticket,1303,Transport
Amazon,Electronics purchase,3727,Shopping
Ajio,Fashion shopping,3750,Shopping
Uber,Airport ride,2900,Transport
Rapido,Bike ride,1267,Transport
Uber,Airport ride,2377,Transport
Flipkart,Online shopping,475,Shopping
Flipkart,Online shopping,1999,Shopping
KFC,Chicken meal,3117,Food
Ajio,Fashion shopping,276,Shopping
Amazon,Electronics purchase,1903,Shopping
Uber,Airport ride,1148,Transport
Dominos,Pizza order,3819,Food
Spotify,Music subscription,1827,Entertainment
BookMyShow,Movie ticket,1733,Entertainment
Flipkart,Online shopping,3314,Shopping
Ola,City travel,3815,Transport
Uber,Airport ride,3355,Transport
Ajio,Fashion shopping,4680,Shopping
Myntra,Clothing order,4574,Shopping
Ola,City travel,2589,Transport
Myntra,Clothing order,2033,Shopping
Spotify,Music subscription,3027,Entertainment
Starbucks,Coffee purchase,2922,Food
Spotify,Music subscription,1717,Entertainment
Amazon,Electronics purchase,3557,Shopping
Starbucks,Coffee purchase,4888,Food
Myntra,Clothing order,2222,Shopping
KFC,Chicken meal,3679,Food
Spotify,Music subscription,3471,Entertainment
Metro,Metro ticket,3069,Transport
Uber,Airport ride,3448,Transport
Ajio,Fashion shopping,4678,Shopping
Ajio,Fashion shopping,1476,Shopping
Metro,Metro ticket,2282,Transport
Uber,Airport ride,1559,Transport
Spotify,Music subscription,2969,Entertainment
Netflix,Monthly subscription,2741,Entertainment
Uber,Airport ride,3647,Transport
Ola,City travel,2500,Transport
Myntra,Clothing order,713,Shopping
BookMyShow,Movie ticket,3630,Entertainment
Netflix,Monthly subscription,3411,Entertainment
Myntra,Clothing order,362,Shopping
Swiggy,Lunch order,4632,Food
BookMyShow,Movie ticket,2508,Entertainment
Amazon,Electronics purchase,1780,Shopping
Spotify,Music subscription,2047,Entertainment
BookMyShow,Movie ticket,4467,Entertainment
Amazon,Electronics purchase,4158,Shopping
Spotify,Music subscription,115,Entertainment
Ajio,Fashion shopping,450,Shopping
Ajio,Fashion shopping,3413,Shopping
Metro,Metro ticket,915,Transport
Swiggy,Lunch order,4880,Food
Netflix,Monthly subscription,3102,Entertainment
Ajio,Fashion shopping,2813,Shopping
Flipkart,Online shopping,1619,Shopping
Zomato,Food delivery,3878,Food
Metro,Metro ticket,3635,Transport
Myntra,Clothing order,962,Shopping
Spotify,Music subscription,2746,Entertainment
Ola,City travel,1514,Transport
Myntra,Clothing order,1422,Shopping
Myntra,Clothing order,4875,Shopping
Ajio,Fashion shopping,2935,Shopping
Spotify,Music subscription,323,Entertainment
Zomato,Food delivery,3355,Food
Spotify,Music subscription,1775,Entertainment
Ola,City travel,2047,Transport
Flipkart,Online shopping,2141,Shopping
Starbucks,Coffee purchase,4526,Food
Metro,Metro ticket,1891,Transport
Netflix,Monthly subscription,2955,Entertainment
BookMyShow,Movie ticket,1193,Entertainment
Netflix,Monthly subscription,4150,Entertainment
Spotify,Music subscription,1658,Entertainment
KFC,Chicken meal,1652,Food
Amazon,Electronics purchase,2231,Shopping
Spotify,Music subscription,1122,Entertainment
Rapido,Bike ride,3245,Transport
Zomato,Food delivery,2890,Food
KFC,Chicken meal,1809,Food
Flipkart,Online shopping,2837,Shopping
KFC,Chicken meal,2049,Food
Uber,Airport ride,1244,Transport
Myntra,Clothing order,2188,Shopping
Rapido,Bike ride,4760,Transport
Starbucks,Coffee purchase,929,Food
Netflix,Monthly subscription,688,Entertainment
Uber,Airport ride,2125,Transport
Dominos,Pizza order,3793,Food
Starbucks,Coffee purchase,4801,Food
Ajio,Fashion shopping,1268,Shopping
Amazon,Electronics purchase,4080,Shopping
Dominos,Pizza order,3952,Food
Spotify,Music subscription,2699,Entertainment
Uber,Airport ride,2848,Transport
Ajio,Fashion shopping,937,Shopping
Dominos,Pizza order,924,Food
Myntra,Clothing order,4114,Shopping
Zomato,Food delivery,3065,Food
Uber,Airport ride,2158,Transport
Uber,Airport ride,4635,Transport
Dominos,Pizza order,3256,Food
Metro,Metro ticket,3356,Transport
Ajio,Fashion shopping,4280,Shopping
Myntra,Clothing order,2607,Shopping
Spotify,Music subscription,4159,Entertainment
Uber,Airport ride,162,Transport
Spotify,Music subscription,4632,Entertainment
Netflix,Monthly subscription,4801,Entertainment
Myntra,Clothing order,3125,Shopping
Ajio,Fashion shopping,4232,Shopping
Dominos,Pizza order,1170,Food
Starbucks,Coffee purchase,3755,Food
Flipkart,Online shopping,3192,Shopping
BookMyShow,Movie ticket,1212,Entertainment
Netflix,Monthly subscription,1858,Entertainment
Flipkart,Online shopping,4146,Shopping
Netflix,Monthly subscription,2496,Entertainment
Swiggy,Lunch order,2412,Food
Zomato,Food delivery,4438,Food
KFC,Chicken meal,4540,Food
Dominos,Pizza order,456,Food
Rapido,Bike ride,4895,Transport
Swiggy,Lunch order,1444,Food
Spotify,Music subscription,4768,Entertainment
Myntra,Clothing order,2093,Shopping
Metro,Metro ticket,847,Transport
Spotify,Music subscription,4693,Entertainment
Amazon,Electronics purchase,2276,Shopping
Netflix,Monthly subscription,2879,Entertainment
Flipkart,Online shopping,2737,Shopping
Myntra,Clothing order,1237,Shopping
Uber,Airport ride,4422,Transport
Dominos,Pizza order,1912,Food
Uber,Airport ride,4710,Transport
BookMyShow,Movie ticket,505,Entertainment
Rapido,Bike ride,4827,Transport
BookMyShow,Movie ticket,4909,Entertainment
Amazon,Electronics purchase,1256,Shopping
Ajio,Fashion shopping,1348,Shopping
Myntra,Clothing order,145,Shopping
Dominos,Pizza order,991,Food
Dominos,Pizza order,1698,Food
Starbucks,Coffee purchase,1832,Food
Starbucks,Coffee purchase,106,Food
Metro,Metro ticket,1399,Transport
Rapido,Bike ride,2894,Transport
Swiggy,Lunch order,3571,Food
KFC,Chicken meal,3429,Food
Ajio,Fashion shopping,4115,Shopping
Myntra,Clothing order,4967,Shopping
KFC,Chicken meal,3633,Food
Spotify,Music subscription,4323,Entertainment
Swiggy,Lunch order,4813,Food
Amazon,Electronics purchase,3980,Shopping
Ajio,Fashion shopping,3132,Shopping
Metro,Metro ticket,866,Transport
Flipkart,Online shopping,4609,Shopping
Dominos,Pizza order,1241,Food
Amazon,Electronics purchase,3693,Shopping
Dominos,Pizza order,4478,Food
Amazon,Electronics purchase,1023,Shopping
Netflix,Monthly subscription,828,Entertainment
BookMyShow,Movie ticket,2870,Entertainment
Rapido,Bike ride,1248,Transport
Spotify,Music subscription,2271,Entertainment
Dominos,Pizza order,1132,Food
Rapido,Bike ride,1276,Transport
Zomato,Food delivery,286,Food
Myntra,Clothing order,3549,Shopping
Swiggy,Lunch order,474,Food
Rapido,Bike ride,3337,Transport
Ajio,Fashion shopping,711,Shopping
Myntra,Clothing order,4541,Shopping
Ajio,Fashion shopping,511,Shopping
KFC,Chicken meal,823,Food
Metro,Metro ticket,559,Transport
Starbucks,Coffee purchase,1060,Food
Myntra,Clothing order,4368,Shopping
Metro,Metro ticket,3759,Transport
Uber,Airport ride,384,Transport
Ajio,Fashion shopping,2723,Shopping
Uber,Airport ride,2245,Transport
Uber,Airport ride,2984,Transport
Uber,Airport ride,992,Transport
Uber,Airport ride,1842,Transport
Zomato,Food delivery,3797,Food
Zomato,Food delivery,4772,Food
Starbucks,Coffee purchase,2443,Food
KFC,Chicken meal,4379,Food
Netflix,Monthly subscription,3728,Entertainment
KFC,Chicken meal,3352,Food
Ajio,Fashion shopping,329,Shopping
BookMyShow,Movie ticket,4122,Entertainment
BookMyShow,Movie ticket,1560,Entertainment
Myntra,Clothing order,2019,Shopping
Netflix,Monthly subscription,4760,Entertainment
Ola,City travel,1027,Transport
Dominos,Pizza order,4120,Food
Amazon,Electronics purchase,1446,Shopping
Ola,City travel,2440,Transport
Flipkart,Online shopping,150,Shopping
KFC,Chicken meal,3196,Food
Netflix,Monthly subscription,3255,Entertainment
Uber,Airport ride,3521,Transport
BookMyShow,Movie ticket,4955,Entertainment
KFC,Chicken meal,1966,Food
Flipkart,Online shopping,1511,Shopping
Spotify,Music subscription,4540,Entertainment
KFC,Chicken meal,747,Food
Metro,Metro ticket,863,Transport
Netflix,Monthly subscription,3908,Entertainment
Zomato,Food delivery,3992,Food
Ola,City travel,665,Transport
Myntra,Clothing order,990,Shopping
Ajio,Fashion shopping,4322,Shopping
Swiggy,Lunch order,3109,Food
Dominos,Pizza order,3176,Food
Dominos,Pizza order,4420,Food
Rapido,Bike ride,1982,Transport
BookMyShow,Movie ticket,230,Entertainment
Swiggy,Lunch order,321,Food
Spotify,Music subscription,3639,Entertainment
BookMyShow,Movie ticket,3417,Entertainment
Metro,Metro ticket,1826,Transport
Myntra,Clothing order,160,Shopping
Netflix,Monthly subscription,2660,Entertainment
Starbucks,Coffee purchase,2587,Food
Ajio,Fashion shopping,4630,Shopping
Dominos,Pizza order,1566,Food
Ajio,Fashion shopping,2713,Shopping
Ajio,Fashion shopping,243,Shopping
Metro,Metro ticket,3686,Transport
KFC,Chicken meal,2808,Food
Flipkart,Online shopping,1425,Shopping
KFC,Chicken meal,2409,Food
Myntra,Clothing order,1770,Shopping
KFC,Chicken meal,1116,Food
Ajio,Fashion shopping,533,Shopping
Amazon,Electronics purchase,3039,Shopping
Spotify,Music subscription,1900,Entertainment
Uber,Airport ride,1039,Transport
Swiggy,Lunch order,1075,Food
Rapido,Bike ride,4185,Transport
BookMyShow,Movie ticket,3933,Entertainment
BookMyShow,Movie ticket,994,Entertainment
Amazon,Electronics purchase,3536,Shopping
Zomato,Food delivery,862,Food
Amazon,Electronics purchase,1595,Shopping
Netflix,Monthly subscription,3685,Entertainment
Amazon,Electronics purchase,4535,Shopping
Metro,Metro ticket,2698,Transport
Swiggy,Lunch order,2291,Food
Uber,Airport ride,1166,Transport
Zomato,Food delivery,4205,Food
Dominos,Pizza order,1318,Food
Dominos,Pizza order,231,Food
Starbucks,Coffee purchase,3219,Food
Amazon,Electronics purchase,4478,Shopping
Amazon,Electronics purchase,3334,Shopping
Metro,Metro ticket,386,Transport
Myntra,Clothing order,2341,Shopping
Metro,Metro ticket,2782,Transport
Spotify,Music subscription,2716,Entertainment
Dominos,Pizza order,2674,Food
Zomato,Food delivery,4403,Food
Zomato,Food delivery,4349,Food
Netflix,Monthly subscription,4916,Entertainment
Myntra,Clothing order,3919,Shopping
Spotify,Music subscription,3172,Entertainment
Netflix,Monthly subscription,2151,Entertainment
Flipkart,Online shopping,1823,Shopping
Netflix,Monthly subscription,2810,Entertainment
Amazon,Electronics purchase,518,Shopping
Spotify,Music subscription,3133,Entertainment
Zomato,Food delivery,1557,Food
Spotify,Music subscription,421,Entertainment
Spotify,Music subscription,2883,Entertainment
Spotify,Music subscription,2452,Entertainment
Rapido,Bike ride,4113,Transport
Swiggy,Lunch order,3729,Food
Ajio,Fashion shopping,737,Shopping
Ajio,Fashion shopping,2533,Shopping
Amazon,Electronics purchase,4612,Shopping
Swiggy,Lunch order,878,Food
Spotify,Music subscription,4926,Entertainment
BookMyShow,Movie ticket,1999,Entertainment
Metro,Metro ticket,1108,Transport
Uber,Airport ride,1924,Transport
Rapido,Bike ride,1192,Transport
Myntra,Clothing order,942,Shopping
Ajio,Fashion shopping,2573,Shopping
Amazon,Electronics purchase,4356,Shopping
